current_time,temp,humidity,main
26-03-05 05:34:23,11.76,40,Clear
26-03-05 06:09:42,11.76,43,Haze
26-03-05 07:11:27,10.48,36,Clouds
26-03-05 07:56:43,8.87,57,Clouds
26-03-05 08:56:23,10.76,46,Haze
26-03-05 09:56:09,6.76,76,Rain
26-03-05 10:53:30,4.74,91,Rain
26-03-05 11:36:11,3.74,92,Rain
26-03-05 12:01:57,3.74,92,Rain
26-03-05 13:24:11,-0.24,100,Snow
26-03-05 14:12:41,0.76,100,Snow
26-03-05 15:09:21,0.76,100,Snow
26-03-05 16:05:52,0.76,100,Snow
26-03-05 18:20:32,2.22,86,Clouds
26-03-05 19:41:21,2.6,74,Clouds
26-03-05 20:23:56,-0.24,100,Mist
26-03-05 21:02:35,-0.24,100,Mist
26-03-05 21:48:48,2.19,79,Clouds
26-03-05 22:20:43,0.76,100,Mist
26-03-05 23:34:42,2,78,Clouds
26-03-06 00:57:48,1.76,93,Mist
26-03-06 03:32:04,3.22,61,Clouds
26-03-06 05:00:39,3.76,75,Haze
26-03-06 05:56:54,3.76,70,Mist
26-03-06 07:03:19,2.76,75,Haze
26-03-06 07:50:00,4.12,44,Clouds
26-03-06 08:30:10,2.76,70,Haze
26-03-06 09:06:16,2.76,70,Haze
26-03-06 09:55:57,2.15,46,Clouds
26-03-06 10:49:00,0.76,75,Haze
26-03-06 11:21:20,1.76,64,Clouds
26-03-06 11:50:55,1.76,64,Clouds
26-03-06 12:44:32,-0.24,69,Clouds
26-03-06 13:43:18,0.16,40,Clear
26-03-06 14:25:46,0.16,40,Clear
26-03-06 15:06:29,-0.03,39,Clear
26-03-06 15:53:55,-1.24,69,Clear
26-03-06 16:49:36,-1.24,64,Clear
26-03-06 17:28:27,-0.93,35,Clear
26-03-06 18:02:35,-1.24,69,Clear
26-03-06 19:01:50,-1.05,35,Clear
26-03-06 19:45:40,-3.24,80,Clear
26-03-06 20:16:41,-3.24,80,Clear
26-03-06 20:51:33,-3.24,80,Clear
26-03-06 21:27:23,-1.48,34,Clear
26-03-06 21:54:07,-3.24,68,Clear
26-03-06 22:34:00,-1.36,32,Clear
26-03-06 23:00:25,-3.24,68,Clear
26-03-06 23:37:43,-1.24,59,Clear
26-03-06 23:58:28,-0.76,30,Clear
26-03-07 02:40:36,1.76,35,Clear
26-03-07 04:15:12,3.47,16,Clear
26-03-07 05:12:05,3.76,41,Clear
26-03-07 05:54:14,4.92,16,Clear
26-03-07 06:50:13,4.89,17,Clear
26-03-07 07:24:17,4.82,17,Clear
26-03-07 07:49:57,4.33,17,Clear
26-03-07 08:22:15,4.76,30,Clear
26-03-07 08:54:43,3.68,19,Clear
26-03-07 09:35:48,3.68,19,Clear
26-03-07 09:56:04,2.76,35,Clear
